"id","question","answers_a","answers_b","answers_c","answers_d","answer","answer_text"
"1","PHPファイルの拡張子として正しいものはどれか。",".php",".py",".rb",".jsx","a","PHPの拡張子は（ファイル名.php）です。ですが、.php以外でも動きます。.htmlや.phtmlといった拡張子でもPHPプログラムを動かすことができます。"
"2","PHPを記述する際に必要なタグはどれか。","<?php  ?>","<!php !>","<body> </body>","<php >","a","phpを記述する際は、<?php ?>の中に記述します。<?  ?><%  %>の間に記述することも可能です。"
"3","文字を出力するPHPの言語構文はどれか。","puts","echo","p","console.log","b","echoが文字を出力するPHPの言語構文です。複数の文字列を続けて出力する場合にはカンマ(,)で区切って文字列を指定します。echoは関数ではなくPHPの言語構造の一つです。その為引数を括弧で括る必要はありません。ただ関数のように括弧で括って記述することも出来ます。"
"4","文字を出力するPHPの言語構文はどれか。","console.log","p","print","puts","c","printがが文字を出力するPHPの言語構文です。echoとは異なり複数の引数を指定できません。また戻り値として常に1を返します。echoと同じように括弧で括る必要はありません。また、関数のように括弧で括って記述することも出来ます。"
"5","コメントを記述する方法として正しくないものはどれか。","#コメント","%コメント","//コメント","/* コメント*/","b","コメントの仕方で正しいものは以下です。
#コメント
//コメント
/*コメント*/で記述します。"
"6","改行を意味するエスケープシーケンスはどれか。","\r","\t","\\","\n","d","改行を意味するエスケープシーケンスは:\nです。
その他のエスケープシーケンスは以下です。
\r:キャリッジターン
\t:タブ"
"7","ローカルの日付/時刻を書式化するファンクションはどれか。","data://","time","compact","date","d","現在の時刻を表示するファンクションは:dateです。
例)
print('現在は' . date('G時 i分 s秒') . 'です。');
表示結果)
現在は24時01分01秒です。
※パラメータには様々なものがあります。"
"8","PHPで変数を作成する方法はどれか。","$変数名 = 内容 ;","let 変数名 = 内容;","const 変数名 = 内容;","変数名 = 内容","a","PHPで変数を作成するには以下のとり通りです。
$変数名 = 内容 ;
※先頭には数字を使うことはできません。
※大文字・小文字が違う場合は、別の変数とみなします。"
"9","回数が決まっていない際の繰り返し文はどれか。","for","while","if","else","b","繰り返す回数があらかじめわからない ⇒ while文です。
while('条件式'){
  処理内容
}"
"10","回数が決まっている際の繰り返し文はどれか","for","while","if","else","a","繰り返す回数があらかじめわかっている ⇒ for
for('初期値'; '条件式'; '更新式'){
  処理内容
}"